# Epoch,E_trajectorie_count,E_cumulative_timestep,E_average_return
377,9,9,-109.555556
378,9,9,-108.222222
379,9,9,-102.333333
380,9,9,-111.111111
381,9,9,-109.777778
382,8,8,-117.750000
383,9,9,-107.222222
384,9,9,-102.666667
385,9,9,-102.444444
386,8,8,-115.375000
387,8,8,-116.125000
388,9,9,-102.888889
389,9,9,-107.333333
390,9,9,-102.888889
391,9,9,-106.333333
392,9,9,-105.555556
393,9,9,-104.111111
394,8,8,-116.500000
395,9,9,-102.777778
396,9,9,-99.444444
397,8,8,-112.500000
398,9,9,-106.555556
399,9,9,-107.333333
